Model,Architecture,Pixel Shaders,Vertex Shaders,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type
AMD Radeon HD 8180,GCN,128,,225,,,,
ATI Mobility Radeon HD 3470 Hybrid X2,RV6xx,80,,,,,,DDR2/GDDR3
NVIDIA GeForce 9400M GeForceBoost,,24,,,,,64,
ATI Mobility Radeon HD 3470,RV6xx,40,,680,,800,64,DDR2/GDDR3
NVIDIA GeForce 9300M G,,16,,400,,600,64,GDDR2 / GDDR3
NVIDIA ION 2,GT2xx,16,,405 / 475 / 535,,790,64,"DDR2, DDR3"
NVIDIA GeForce 9300M GS,,8,,550,,700,64,"GDDR2, GDDR3"
NVIDIA Quadro FX 370M,,8,,580,,700,64,"GDDR2, GDDR3"
NVIDIA Quadro NVS 160M,,8,,580,,700,64,"GDDR2, GDDR3"
NVIDIA GeForce 9200M GS,,8,,550,,700,64,"GDDR2, GDDR3"
AMD Radeon HD 7290,Terascale 2,80,,280,400,,,
AMD Radeon HD 6290,Terascale 2,80,,280,400,,,
ATI Mobility Radeon HD 3450,RV6xx,40,,500,,700,64,DDR2/GDDR3
ATI Mobility Radeon HD 3430,RV6xx,40,,450,,700,64,GDDR2
ATI Mobility Radeon HD 3410,RV6xx,40,,400,,700,64,GDDR2
ATI Mobility Radeon HD 2400 XT,RV6xx,40,,600,,700,64,"DDR2, GDDR3"
ATI Radeon HD 4270,RV6xx,40,,590,,,,
ATI Radeon HD 4250,RV6xx,40,,500,,,,
ATI Radeon HD 4200,RV6xx,40,,500,,,,
Intel Graphics Media Accelerator (GMA) HD Graphics,Gen. 5 Arrandale,12,,500,,,,
AMD Radeon HD 6250,Terascale 2,80,,280,,,,
NVIDIA Quadro NVS 150M,,8,,530,,700,64,"GDDR2, GDDR3"
NVIDIA Quadro FX 360M,,16,,400,,600,64,GDDR3
ATI Mobility Radeon X1350,,4,2,470,,350,128,DDR1/DDR2/GDDR3
ATI Mobility Radeon X1400,,4,2,445,,250,128,DDR1/DDR2/GDDR3
NVIDIA GeForce 9100M G,,8,,450,,,,
NVIDIA GeForce 8400M GS,,16,,400,,600,64,GDDR2 / GDDR3
NVIDIA Quadro NVS 135M,,16,,400,,600,64,"GDDR3, GDDR2"
ATI Mobility Radeon HD 2400,RV6xx,40,,450,,500,64,"DDR2, GDDR3"
ATI Radeon HD 3200,RV6xx,40,,500,,,,
ATI Radeon HD 4225,RV6xx,40,,380,,,,
ATI Radeon HD 4100,RV6xx,40,,350,,,,
ATI Mobility Radeon HD 3400,RV6xx,0,,,,,,
ATI Radeon HD 3100,RV6xx,40,,350,,,,
NVIDIA GeForce 8400M G,,8,,400,,600,64,GDDR3 / GDDR2
NVIDIA Quadro NVS 130M,,8,,,,700,64,"GDDR3, GDDR2"
NVIDIA GeForce 8200M G,,8,,400,,,,
Intel Graphics Media Accelerator (GMA) 4700MHD,Gen. 4.5,10,,640,,,0,
Intel Graphics Media Accelerator (GMA) 4500MHD,Gen. 4.5,10,,533,,,0,
Intel Graphics Media Accelerator (GMA) 4500M,Gen. 4.5,10,,400,,,,
NVIDIA GeForce Go 7400,,4,3,450,,450,64 / 32,DDR3
NVIDIA Quadro FX 350M,,4,3,450,,350,64,DDR-3
NVIDIA Quadro NVS 120M,,4,3,450,,700,64,DDR-3
NVIDIA GeForce Go 7300,,4,3,350,,700,64,DDR-3
NVIDIA Quadro NVS 110M,,4,3,300,,600,64,DDR-3
ATI Mobility Radeon X600,,4,2,400,,250,128,DDR/DDR2
ATI Mobility FireGL V3200,,4,2,400,,,128,DDR/DDR2
ATI Mobility FireGL V3100,,4,2,350,,200,128,DDR/DDR2
ATI Mobility Radeon X2300,,4,2,480,,400,128,DDR1/DDR2/GDDR3
ATI Mobility Radeon HD 2300,RV5xx,4,2,480,,400,128,DDR1/DDR2/GDDR3
ATI Mobility Radeon 9700,,4,2,450,,275,128 / 64,DDR
ATI Mobility FireGL T2e,,4,2,450,,260,128,
ATI Mobility Radeon X1300,,4,2,350,,250,128,DDR1/DDR2/GDDR3
NVIDIA GeForce4 4200 Go,,4,2,200,,200,128,DDR
ATI Mobility Radeon 9600,,4,2,300,,300,128 / 64,DDR
ATI Mobility FireGL T2,,4,2,300,,200,128,
ATI Mobility Radeon 9550,,4,2,210,,183,64,DDR
NVIDIA GeForce Go 7200,,4,3,450,,350,32,DDR-3
NVIDIA GeForce Go 6400,,4,3,400,,350,64,DDR
ATI Mobility Radeon X300,,4,2,350,,250,64,DDR/DDR2
NVIDIA GeForce Go 6250,,4,3,400,,350,64,DDR
NVIDIA GeForce Go 6200,,4,3,300,,300,64,DDR
NVIDIA GeForce FX Go 5700,,4,0,450,,275,128,DDR
NVIDIA Quadro FX Go 1000,,4,0,,,,128,
NVIDIA GeForce FX Go 5600 / 5650,,4,1,350,,300,128,DDR
ATI Radeon Xpress X1270,,4,0,400,,,,
ATI Radeon Xpress X1250,,4,0,350,,,,
ATI Radeon Xpress 1250,,4,0,400,,,,
ATI Radeon Xpress X1200,,4,0,350,,0,,
Intel Graphics Media Accelerator (GMA) X3100,Gen. 4,8,,500,,,0,
Intel Graphics Media Accelerator (GMA) 3650,PowerVR SGX5,4,0,640,,,,
NVIDIA GeForce 7190M,,2,1,,,,,shared Memory
NVIDIA GeForce 7150M,,2,1,425,,,,shared Memory
ATI Radeon Xpress 1150,,2,2,400,,0,0,shared Memory
NVIDIA GeForce Go 6150,,2,1,425,,0,0,shared Memory
NVIDIA GeForce Go 6100,,2,1,425,,0,0,shared Memory
NVIDIA GeForce 7000M,,2,1,350,,0,0,shared Memory
Intel Graphics Media Accelerator (GMA) 3600,PowerVR SGX5,4,0,400,,,,
ATI Mobility Radeon 9200,,4,1,250,,200,128,DDR
ATI Mobility FireGL 9000,,4,1,250,,200,128,DDR
NVIDIA GeForce FX Go 5200,,4,1,300,,300,128,DDR
ATI Mobility Radeon 9000,,4,1,240,,200,128,DDR
NVIDIA GeForce 4 488 Go,,2,0,275,,275,32,DDR
NVIDIA GeForce 4 460 Go,,2,0,250,,250,32,DDR
NVIDIA GeForce 4 440 Go,,2,0,220,,220,32,DDR
NVIDIA GeForce 4 420 Go,,2,0,190,,200,32,DDR
Intel Graphics Media Accelerator (GMA) 3150,Gen. 4,2,0,200,,,,
Intel Graphics Media Accelerator (GMA) 950,Gen. 3,4,0,250,,0,0,
ATI Mobility Radeon 7500,,2,0,280,,200,64 / 128,DDR
ATI Mobility FireGL 7800,,2,0,280,,200,64 / 128,DDR
Intel Graphics Media Accelerator (GMA) 900,Gen. 3,4,0,400,,0,0,
ATI Radeon Xpress 200M,,4,2,350,,0,0,
ATI Radeon Xpress 1100,,4,2,300,,,0,shared Memory
SIS Mirage 3+ 672MX,,2,1,250,,,,
SIS Mirage 3 671MX,,2,1,250,,,,
Intel Graphics Media Accelerator (GMA) 600,PowerVR SGX5,4,,400,,,,
Intel Graphics Media Accelerator (GMA) 500,PowerVR SGX5,4,,200,,,,
NVIDIA GeForce 3 Go,,,,250,,,32 / 64 / 128,DDR
NVIDIA GeForce 2 Go (200 / 100),,1,0,166,,143,32 / 64,DDR
ATI Mobility Radeon 9100 IGP,,2,1,400,,,,
ATI Mobility Radeon 9000 IGP,,2,1,300,,0,0,
ATI Mobility Radeon M7,,2,1,230,,183,64,DDR
ATI Mobility Radeon M6,,0,2,166,,166,32,DDR
VIA Chrome9 HC,,2,1,250,,,,onboard
Intel Extreme Graphics 2,Gen. 2,,,133,,,0,
ATI Mobility Radeon 7000 IGP,,0,2,,,,0,
ATI Radeon IGP 340M,,0,2,180,,,0,
ATI Radeon IGP 320M,,0,2,160,,,0,
VIA S3G UniChrome Pro II,,,,200,,,0,
VIA S3G UniChrome Pro,,1,2,,,,0,
VIA Castle Rock,,1,2,,,,,
SIS Mirage 2 M760,,4,1,200,,,,
SIS Mirage M661FX,,,,133,,,,
VIA S3 Graphics ProSavage8,,0,0,121,,,,
ATI Mobility 128 M3,,0,0,105,,105,64,DDR
Silicon Motion SM502,,,,,,,,
unknown,,,,,,,,
